Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2022-08-18,4283.74,461194130
2022-08-17,4274.04,497636886
2022-08-16,4305.2,482206193
2022-08-15,4297.14,458693998
2022-08-12,4280.15,508595647
2022-08-11,4207.27,523109239
2022-08-10,4210.24,603251537
2022-08-09,4122.47,527734636
2022-08-08,4140.06,532468335
2022-08-05,4145.19,542444702
2022-08-04,4151.94,579958906
2022-08-03,4155.17,653186666
2022-08-02,4091.19,585426955
2022-08-01,4118.63,614462306
2022-07-29,4130.29,990186880
2022-07-28,4072.43,640030686
2022-07-27,4023.61,682004735
2022-07-26,3921.05,574718014
2022-07-25,3966.84,520141281
2022-07-22,3961.63,594322444
2022-07-21,3998.95,633920961
2022-07-20,3959.9,621376460
2022-07-19,3936.69,659890407
2022-07-18,3830.85,593561439
2022-07-15,3863.16,722839300
2022-07-14,3790.38,579289857
2022-07-13,3801.78,560882002
2022-07-12,3818.8,583507688
2022-07-11,3854.43,506095661
2022-07-08,3899.38,484507487
2022-07-07,3902.62,596928101
2022-07-06,3845.08,615703520
2022-07-05,3831.39,669970316
2022-07-01,3825.33,605698751
2022-06-30,3785.38,846482439
2022-06-29,3818.83,536713686
2022-06-28,3821.55,613334223
2022-06-27,3900.11,605653122
2022-06-24,3911.74,1203366613
2022-06-23,3795.73,651222924
2022-06-22,3759.89,741292745
2022-06-21,3764.79,795205668
2022-06-17,3674.84,2161936243
2022-06-16,3666.77,893345264
2022-06-15,3789.99,818290184
2022-06-14,3735.48,709747806
2022-06-13,3749.63,844701200
2022-06-10,3900.86,701847225
2022-06-09,4017.82,576523171
2022-06-08,4115.77,494409660
2022-06-07,4160.68,543992416
2022-06-06,4121.43,483437955
2022-06-03,4108.54,506051939
2022-06-02,4176.82,556442461
2022-06-01,4101.23,588790984
2022-05-31,4132.15,1495412071
2022-05-27,4158.24,606795856
2022-05-26,4057.84,659094355
2022-05-25,3978.73,639248153
2022-05-24,3941.48,626587548
2022-05-23,3973.75,631460912
2022-05-20,3901.36,844641873
2022-05-19,3900.79,704614833
2022-05-18,3923.68,732386463
2022-05-17,4088.85,624875961
2022-05-16,4008.01,561129818
2022-05-13,4023.89,655747812
2022-05-12,3930.08,826698830
2022-05-11,3935.18,744675399
2022-05-10,4001.05,790371051
2022-05-09,3991.24,804816677
2022-05-06,4123.34,716333425
2022-05-05,4146.87,803991512
2022-05-04,4300.17,751049645
2022-05-03,4175.48,643786613
2022-05-02,4155.38,729216058
2022-04-29,4131.93,929282250
2022-04-28,4287.5,697196926
2022-04-27,4183.96,681879093
2022-04-26,4175.2,698291135
2022-04-25,4296.12,722679540
2022-04-22,4271.78,691753316
2022-04-21,4393.66,668508930
2022-04-20,4459.45,600434758
2022-04-19,4462.21,582040500
2022-04-18,4391.69,519323212
2022-04-14,4392.59,690094610
2022-04-13,4446.59,537939700
2022-04-12,4397.45,553125394
2022-04-11,4412.53,641643581
2022-04-08,4488.28,566893224
2022-04-07,4500.21,633556772
2022-04-06,4481.15,707574539
2022-04-05,4525.12,616401834
2022-04-04,4582.64,571697450
2022-04-01,4545.86,681128651
2022-03-31,4530.41,828500682
2022-03-30,4602.45,550986450
2022-03-29,4631.6,593642465
2022-03-28,4575.52,522750147
2022-03-25,4543.06,513752326
2022-03-24,4520.16,537385678
2022-03-23,4456.24,594060997
2022-03-22,4511.61,656621816
2022-03-21,4461.18,675390417
2022-03-18,4463.12,2125139258
2022-03-17,4411.67,660090863
2022-03-16,4357.86,800463717
2022-03-15,4262.45,741652578
2022-03-14,4173.11,722842773
2022-03-11,4204.31,629698949
2022-03-10,4259.52,650304968
2022-03-09,4277.88,791121933
2022-03-08,4170.7,920407720
2022-03-07,4201.09,888361731
2022-03-04,4328.87,744135346
2022-03-03,4363.49,696400599
2022-03-02,4386.54,737531407
2022-03-01,4306.26,848578485
2022-02-28,4373.94,1036764861
2022-02-25,4384.65,713492661
2022-02-24,4288.7,991044156
2022-02-23,4225.5,665717418
2022-02-22,4304.76,719202707
2022-02-18,4348.87,791007319
2022-02-17,4380.26,600019301
2022-02-16,4475.01,592449865
2022-02-15,4471.07,597267582
2022-02-14,4401.67,685108730
2022-02-11,4418.64,759825867
2022-02-10,4504.08,665777806
2022-02-09,4587.18,604072880
2022-02-08,4521.54,603438608
2022-02-07,4483.87,605777573
2022-02-04,4500.53,667032993
2022-02-03,4477.44,701665518
2022-02-02,4589.38,769385282
2022-02-01,4546.54,693891153
2022-01-31,4515.55,978232011
2022-01-28,4431.85,741272695
2022-01-27,4326.51,762182337
2022-01-26,4349.93,833935669
2022-01-25,4356.45,822737775
2022-01-24,4410.13,1051278037
2022-01-21,4397.94,943246550
2022-01-20,4482.73,636159973
2022-01-19,4532.76,636487918
2022-01-18,4577.11,753096554
2022-01-14,4662.85,636663732
2022-01-13,4659.03,584414857
2022-01-12,4726.35,541651884
2022-01-11,4713.07,577885612
2022-01-10,4670.29,727218821
2022-01-07,4677.03,633523555
2022-01-06,4696.05,624580056
2022-01-05,4700.58,729435695
2022-01-04,4793.54,696748115
2022-01-03,4796.56,586380432
2021-12-31,4766.18,422910995
2021-12-30,4778.73,331532829
2021-12-29,4793.06,366001664
2021-12-28,4786.35,356766672
2021-12-27,4791.19,394681060
2021-12-23,4725.79,433265169
2021-12-22,4696.56,456478344
2021-12-21,4649.23,620141359
2021-12-20,4568.02,681243755
2021-12-17,4620.64,2106461522
2021-12-16,4668.67,754929127
2021-12-15,4709.85,697669987
2021-12-14,4634.09,720179717
2021-12-13,4668.97,675622203
2021-12-10,4712.02,543943477
2021-12-09,4667.45,511811272
2021-12-08,4701.21,574428675
2021-12-07,4686.75,685661387
2021-12-06,4591.67,688424643
2021-12-03,4538.43,730855410
2021-12-02,4577.1,769875014
2021-12-01,4513.04,759376583
2021-11-30,4567,1494491586
2021-11-29,4655.27,684025293
2021-11-26,4594.62,532795045
2021-11-24,4701.46,518402735
2021-11-23,4690.7,562663117
2021-11-22,4682.94,634155773
2021-11-19,4697.96,679610350
2021-11-18,4704.54,552099195
2021-11-17,4688.67,507249306
2021-11-16,4700.9,495076558
2021-11-15,4682.8,488967486
2021-11-12,4682.85,471249412
2021-11-11,4649.27,424400846
2021-11-10,4646.71,540677649
2021-11-09,4685.25,535583099
2021-11-08,4701.7,540240231
2021-11-05,4697.53,611250916
2021-11-04,4680.06,619826033
2021-11-03,4660.57,565270412
2021-11-02,4630.65,546276599
2021-11-01,4613.67,520161990
2021-10-29,4605.38,703313423
2021-10-28,4596.42,535840853
2021-10-27,4551.68,561003622
2021-10-26,4574.79,509930521
2021-10-25,4566.48,502385574
2021-10-22,4544.9,466677459
2021-10-21,4549.78,480161207
2021-10-20,4536.19,463182018
2021-10-19,4519.63,424917824
2021-10-18,4486.46,510061348
2021-10-15,4471.37,660923201
2021-10-14,4438.26,523662587
2021-10-13,4363.8,520806009
2021-10-12,4350.65,529787814
2021-10-11,4361.19,434331952
2021-10-08,4391.34,442878221
2021-10-07,4399.76,513804708
2021-10-06,4363.55,560551489
2021-10-05,4345.72,544456116
2021-10-04,4300.46,694916561
2021-10-01,4357.04,599123734
2021-09-30,4307.54,708255694
2021-09-29,4359.46,510256048
2021-09-28,4352.63,660042766
2021-09-27,4443.11,533785390
2021-09-24,4455.48,447148826
2021-09-23,4448.98,492031305
2021-09-22,4395.64,546603328
2021-09-21,4354.19,524522424
2021-09-20,4357.73,714928170
2021-09-17,4432.99,1807659453
2021-09-16,4473.75,531399515
2021-09-15,4480.7,609921417
2021-09-14,4443.05,530129919
2021-09-13,4468.73,545226229
2021-09-10,4458.58,490385730
2021-09-09,4493.28,463557761
2021-09-08,4514.07,467052491
2021-09-07,4520.03,484895707
2021-09-03,4535.43,414286332
2021-09-02,4536.95,463547522
2021-09-01,4524.09,479401081
2021-08-31,4522.68,715483274
2021-08-30,4528.79,416021103
2021-08-27,4509.37,432333069
2021-08-26,4470,417989422
2021-08-25,4496.19,491850140
2021-08-24,4486.23,431883781
2021-08-23,4479.53,475010295
2021-08-20,4441.67,525313553
2021-08-19,4405.8,542963221
2021-08-18,4400.27,481865285
2021-08-17,4448.08,471396876
2021-08-16,4479.71,462926327
2021-08-13,4468,375816906
2021-08-12,4460.83,424463082
2021-08-11,4447.7,474514076
2021-08-10,4436.75,463044810
2021-08-09,4432.35,445844768
2021-08-06,4436.52,475578819
2021-08-05,4429.1,488983014
2021-08-04,4402.66,577170883
2021-08-03,4423.15,559292059
2021-08-02,4387.16,505090822
2021-07-30,4395.26,704783647
2021-07-29,4419.15,491758905
